Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom
1.47778,1.97778,73.6605,-75.0082,351.547,356.995,373.246
1.47778,2.02222,73.6605,-75.0082,351.547,356.995,373.246
1.47778,2.06667,73.6605,-75.0082,351.547,356.995,373.246
1.47778,2.11111,73.6605,-75.0082,351.547,356.995,373.246
1.47778,2.15556,73.6605,-75.0082,351.547,356.995,373.246
1.47778,2.2,73.6605,-75.0082,351.547,356.995,373.246
1.5,1.8,73.6605,-75.0082,351.547,356.995,373.246
1.5,1.84444,73.6605,-75.0082,351.547,356.995,373.246
1.5,1.88889,73.6605,-75.0082,351.547,356.995,373.246
1.5,1.93333,73.6605,-75.0082,351.547,356.995,373.246
1.5,1.97778,73.6605,-75.0082,351.547,356.995,373.246
1.5,2.02222,73.6605,-75.0082,351.547,356.995,373.246
1.5,2.06667,73.6605,-75.0082,351.547,356.995,373.246
1.5,2.11111,73.6605,-75.0082,351.547,356.995,373.246
1.5,2.15556,73.6605,-75.0082,351.547,356.995,373.246
1.5,2.2,73.6605,-75.0082,351.547,356.995,373.246
